sample_id,tMAD
JBLAB-6316,0.697551795
JBLAB-6318,0.225123644
JBLAB-6351,0.049376385
JBLAB-6381,0.541436254
JBLAB-6319,0.587474532
JBLAB-6320,0.169778096
JBLAB-6321,0.233975958
JBLAB-6322,0.059732756
JBLAB-6324,0.525288697
JBLAB-6325,0.069342124
JBLAB-6326,0.240920203
JBLAB-6327,0.472674389
JBLAB-6328,0.515965859
JBLAB-6329,0.064446257
JBLAB-6331,0.606407386
JBLAB-6332,0.40330308
JBLAB-6333,0.383380837
JBLAB-6334,0.538939195
JBLAB-6335,0.635683113
JBLAB-6336,0.365417917
JBLAB-6337,0.539007765
JBLAB-6338,0.362635207
JBLAB-6339,0.525516211
JBLAB-6340,0.150126149
JBLAB-6341,0.344486838
JBLAB-6342,0.01082803
JBLAB-6343,0.018565706
JBLAB-6344,0.072673135
JBLAB-6345,0.026265016
JBLAB-6346,0.002316563
JBLAB-6347,0.047172805
JBLAB-6348,0.411915218
JBLAB-6349,0.013417337
JBLAB-6350,0.432884758
JBLAB-6352,0.047158161
JBLAB-6353,0.027622723
JBLAB-6354,0.519048264
JBLAB-6355,0.499829407
JBLAB-6356,0.397819846
JBLAB-6357,0.064448449
JBLAB-6358,0.312825106
JBLAB-6359,0.341232265
JBLAB-6360,0.154401967
JBLAB-6361,0.521376648
JBLAB-6362,0.680350592
JBLAB-6363,0.061256272
JBLAB-6364,0.335501127
JBLAB-6365,0.375305563
JBLAB-6366,0.477252533
JBLAB-6367,0.59743702
JBLAB-6368,0.405885785
JBLAB-6369,0.326092319
JBLAB-6370,0.559966428
JBLAB-6371,0.584833564
JBLAB-6372,0.435635853
JBLAB-6373,0.051287378
JBLAB-6374,0.468860798
JBLAB-6379,0.035495803
JBLAB-6383,0.486039149
JBLAB-6384,0.131345362
JBLAB-6385,0.01910867
JBLAB-6387,0.511006969
JBLAB-6388,0.548710645
JBLAB-6389,0.257597131
JBLAB-6390,0.185536098
JBLAB-6391,0.412866903
JBLAB-6392,0.674730027