"Row","Column","Timepoint","gH2AX.positive...Number.of.Objects","gH2AX.positive...Intensity.gH2AX.Mean...Mean.per.Well","gH2AX.positive...Intensity.gH2AX.Contrast...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Nuclei.Selected...Intensity.gH2AX.Mean...Mean.per.Well","Nuclei.Selected...Intensity.gH2AX.Contrast...Mean.per.Well","Nuclei.Selected...gH2AX.positive...Mean.per.Well","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
1,10,0,39,254.573420771,0.231118074864,573,165.174407533,0.920831646371,0.694706293625,9164.09831169,171.896148598,0.0568670034147,0.0680628272251,549,0.347635531889,0.572429919846,2.79967185062,0.93096315357,0.799186230672,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
1,11,0,25,239.42382827,0.221344647984,450,166.839383283,0.927168068933,0.711077273337,8677.19825949,167.330532537,0.0468779146037,0.0555555555556,474,0.346892272867,0.570059872805,2.80642376943,0.928635433156,0.802924528602,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
1,12,0,17,275.229265577,0.254611063738,258,176.421871857,0.936554989978,0.707103441814,10404.3138394,172.010057485,0.0535941181535,0.0658914728682,234,0.358985946462,0.575536585828,2.85788432902,0.931123267303,0.818153655517,5,0,"Stain4",NA,"2774N",NA,NA,"Plate4"
2,10,0,10,487.759403927,0.354779945843,1283,119.607848498,0.882061498637,0.654371857584,6147.81348254,153.818625634,0.00466663902724,0.00779423226812,656,0.354805777442,0.603434358384,2.91892882337,0.931891858384,0.827530043645,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
2,11,0,4,581.644374596,0.397696780199,1327,114.999065342,0.871080689884,0.658603459518,5319.01527711,152.804567526,0.00368119975438,0.00301431801055,720,0.361507165274,0.608758896772,2.94465595494,0.930506355483,0.832299365983,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
2,12,0,7,403.816210585,0.344752536265,1155,112.14174201,0.88861905253,0.673898919254,6826.29977179,152.283483609,0.00421958614586,0.00606060606061,627,0.356053872013,0.599660834583,2.93637530386,0.930223376379,0.830265508152,5,0,"Stain4",NA,"A2780-ADR",NA,NA,"Plate4"
3,10,0,3,446.749443343,0.348241107187,761,93.1280819957,0.885372442666,0.653867345471,10482.3440914,154.081952089,0.00664758649637,0.00394218134034,780,0.414439825119,0.652519677065,2.95165355039,0.943713185474,0.85454793731,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
3,11,0,1,209.095724004,0.162164458529,639,90.4922444537,0.906140086935,0.682512484343,9336.31871975,152.858713439,0.00602849454461,0.00156494522692,668,0.415189594836,0.651832126961,2.9405610826,0.944934624963,0.852605813182,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
3,12,0,0,NA,NA,167,104.498342823,0.87969695522,0.685446821795,9904.32943671,151.236985373,0.00386891132209,0,160,0.398377166487,0.62460226794,2.90784345863,0.946694480722,0.849034958235,5,0,"Stain4",NA,"A2780-CIS",NA,NA,"Plate4"
4,10,0,8,269.222537634,0.232229144091,287,154.590271966,0.8004138949,0.604233704167,13442.7489878,163.683322922,0.0226486918742,0.0278745644599,390,0.423148766157,0.64396844986,2.89182663331,0.945525298155,0.841350088643,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
4,11,0,4,458.13756495,0.349237332087,132,160.080154414,0.824558127959,0.613589002103,11361.9630682,168.324457737,0.026546067876,0.030303030303,181,0.427820345251,0.637649034942,2.90871517816,0.946597866742,0.849283528355,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
4,12,0,2,209.381459509,0.15862840174,74,151.236471332,0.741675429489,0.562056484142,12193.0689292,159.355802322,0.0192865384443,0.027027027027,94,0.451969588779,0.656941913064,2.97071778744,0.949368948447,0.862914221549,5,0,"Stain4",NA,"CIOV2",NA,NA,"Plate4"
5,10,0,3,231.956560723,0.199337358629,188,259.466383576,0.868619644958,0.663304616081,7126.49293101,156.61707937,0.0201012059986,0.0159574468085,159,0.402906523869,0.632745757577,2.92400914097,0.937936627724,0.843180798844,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
5,11,0,0,NA,NA,128,240.382768882,0.81653783174,0.611569656782,5973.08141706,154.87948497,0.0117156306391,0,106,0.398948011056,0.624158417767,2.90929216132,0.92895575353,0.828313513709,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
5,12,0,0,NA,NA,66,249.699520434,0.824205587262,0.645537957437,6311.45861459,152.265319322,0.0100830431517,0,49,0.410502861254,0.628880723713,2.92040787064,0.94025544959,0.84431645835,5,0,"Stain4",NA,"CIOV3",NA,NA,"Plate4"
7,10,0,6,414.315925418,0.382246566081,253,184.671443946,0.961734206955,0.74156994916,11880.4099131,164.041031369,0.0310087968591,0.0237154150198,276,0.377696912616,0.612862144176,2.76970080943,0.924575087458,0.791906003291,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
7,11,0,13,343.573996935,0.332653195875,272,195.085485967,0.95890964383,0.741700410044,11260.6337894,164.878926017,0.0291557735872,0.0477941176471,335,0.365179751972,0.606785319494,2.7558131567,0.92065399819,0.784171720154,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
7,12,0,20,265.958937883,0.221679375694,197,209.347288668,0.936781591064,0.736145692898,9987.14088343,169.344365548,0.0390927803761,0.10152284264,210,0.379914384772,0.603831710373,2.78914257767,0.932616577057,0.806208082098,5,0,"Stain4",NA,"COV362.4",NA,NA,"Plate4"
8,10,0,0,NA,NA,41,80.2207236691,0.611515995598,0.448887685244,3894.7271005,150.680457735,0.00756966247888,0,13,0.374131517379,0.647569115976,2.88346124954,0.928646880301,0.812091182692,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
8,11,0,0,NA,NA,42,69.0599930801,0.432194074711,0.367827029195,453.248219183,148.337533029,0.0035910939773,0,0,NA,NA,NA,NA,NA,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
8,12,0,0,NA,NA,50,105.612289418,0.511078984052,0.431185770208,2320.67528475,148.423178858,0.00404530602083,0,9,0.358432098547,0.609304195541,2.81249971818,0.934950194964,0.780194587729,5,0,"Stain4",NA,"COV413A",NA,NA,"Plate4"
1,10,0,24,398.585437311,0.322945706964,423,156.871375781,0.908803932504,0.711707458167,9438.32831162,171.329682774,0.0265716183645,0.0567375886525,532,0.390868670397,0.6237853604,2.77057585773,0.925958947137,0.791850003397,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
1,11,0,26,353.622249855,0.335465419694,651,154.710725544,0.918206611119,0.723563100173,8086.24197857,164.390806593,0.0218313294718,0.0399385560676,835,0.380054792858,0.613273391513,2.73360087939,0.9254497487,0.782494411818,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
1,12,0,22,245.067347616,0.11487545763,44,54.0488183992,0.957110229728,0.816586016399,16820.581225,225.217757789,0.0722727971025,0.5,21,0.373222296154,0.585287826055,3.00678323037,0.936379234808,0.846982528349,5,0,"Stain4",NA,"COV362.4",5000,NA,"Plate5"
3,10,0,39,226.373726403,0.169674976824,249,111.944559612,0.900532215145,0.705122064086,14664.6940078,177.99439805,0.0520127492358,0.156626506024,458,0.430972795987,0.702824615651,2.93674377749,0.949732783089,0.848659057102,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
3,11,0,26,592.730350033,0.31121017211,242,104.29589705,0.877154055599,0.700169269712,13023.5851759,212.813259915,0.0447717801609,0.107438016529,450,0.435782521053,0.706207858018,2.9332959909,0.950910138736,0.846045095211,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
3,12,0,25,234.733549845,0.0954837464939,72,60.2396054389,0.947244724405,0.79055879917,18676.4533534,221.035688305,0.0624706064066,0.347222222222,15,0.392132293902,0.66326768459,2.76932665024,0.928216398086,0.802428008089,5,0,"Stain4",NA,"COV644 NL",10000,NA,"Plate5"
4,10,0,5,216.765218468,0.153128148946,909,148.134651136,0.927598890015,0.729234359541,6906.57604615,155.067407114,0.0111658408476,0.00550055005501,747,0.428988348827,0.671063409424,2.99634740391,0.947621168532,0.866659854547,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
4,11,0,4,554.416760679,0.284455019157,622,160.22649565,0.925265321274,0.727071609107,8710.07404504,158.147125571,0.0115961729079,0.0064308681672,574,0.420664887246,0.669521118246,2.96968390666,0.943861727581,0.858229680451,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
4,12,0,17,230.392893095,0.0892698528354,19,58.3020084726,0.968926371737,0.786207313435,19539.1782499,230.357326146,0.0841076296916,0.894736842105,0,NA,NA,NA,NA,NA,5,0,"Stain4",NA,"IGROV-1",4000,NA,"Plate5"
5,10,0,41,463.511848809,0.33688889472,955,143.422139577,0.878189124221,0.678959717652,5180.01487209,174.681584925,0.0322936262492,0.0429319371728,426,0.366165479662,0.655343462601,2.85435076359,0.928885763231,0.803206231306,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
5,11,0,27,411.454817833,0.315250578739,711,149.871411952,0.923705771254,0.711346980003,5440.90833612,170.285706488,0.0302077118458,0.0379746835443,414,0.365007434253,0.657462170027,2.88044845303,0.932397534069,0.812844033237,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
5,12,0,1,401.650364964,0.352786475941,15,50.9490095858,0.80138799433,0.611135901393,16334.2457629,181.21027962,0.0350715808413,0.0666666666667,5,0.400618396904,0.707380633711,2.97035036157,0.929252857031,0.851502557263,5,0,"Stain4",NA,"PEO1",15000,NA,"Plate5"
6,10,0,1,211.854689074,0.17260541523,111,273.726949062,0.825838331757,0.64369042341,5230.90309165,153.287593828,0.00823396014747,0.00900900900901,93,0.401837030778,0.66153337759,2.94252449879,0.927173514292,0.833111396087,5,0,"Stain4",NA,"PEO14",5000,NA,"Plate5"
6,11,0,1,399.79480916,0.325442636939,124,238.392211806,0.76050448063,0.599441742608,6336.17781055,154.936434109,0.00580355771041,0.00806451612903,70,0.366442415532,0.656006123651,2.86523081956,0.924191238801,0.80061676588,5,0,"Stain4",NA,"PEO14",5000,NA,"Plate5"
6,12,0,3,314.092648203,0.0969618894534,10,54.5576852397,0.81787570476,0.595746757944,16166.9233769,270.894850824,0.0558214590069,0.3,6,0.351264756895,0.602922122993,2.68156629864,0.927089662387,0.754463241341,5,0,"Stain4",NA,"PEO14",5000,NA,"Plate5"
1,10,0,1,214.718662953,0.170379068462,72,114.775586224,0.624565678084,0.506316702018,4187.42607218,155.074123398,0.0129419272469,0.0138888888889,28,0.349249638479,0.627462824017,2.94191405592,0.933010681994,0.824022394496,5,0,"Stain4",NA,"ES-2",4000,NA,"Plate6"
1,11,0,2,268.961457688,0.224261442089,23,35.8997157237,0.948770687375,0.793937556361,29273.0515472,210.233735258,0.0510764855354,0.0869565217391,20,0.350432743796,0.630905708754,2.80916229355,0.920559314225,0.799208028763,5,0,"Stain4",NA,"ES-2",4000,NA,"Plate6"
1,12,0,5,263.660546573,0.211446470483,127,151.288996654,0.777108340983,0.61557342289,9207.13000561,168.035768235,0.0209523315908,0.0393700787402,100,0.355929899452,0.618154771617,2.78643699186,0.9199444487,0.790095965248,5,0,"Stain4",NA,"ES-2",4000,NA,"Plate6"
2,10,0,9,238.240859937,0.218326332135,763,240.757088744,0.935281803774,0.720993085987,3909.93626311,163.85797585,0.0386403199907,0.0117955439056,911,0.412135400715,0.679846786998,2.90984927788,0.941061540204,0.832729189817,5,0,"Stain4",NA,"HOC-7",4000,NA,"Plate6"
2,11,0,74,240.88276135,0.206745576542,680,230.490578302,0.928113289387,0.702803254705,5033.82683725,176.653091554,0.0695270446789,0.108823529412,853,0.421251782405,0.68353312631,2.94429465611,0.94596784598,0.849003869702,5,0,"Stain4",NA,"HOC-7",4000,NA,"Plate6"
2,12,0,18,245.513713611,0.221475817735,734,228.878893428,0.938539876024,0.702345408512,5276.96172487,164.741360162,0.042239892098,0.0245231607629,991,0.426058027625,0.694604535893,2.87211431495,0.943082931097,0.830760608838,5,0,"Stain4",NA,"HOC-7",4000,NA,"Plate6"
3,10,0,3,891.999582197,0.46809323584,413,127.82278047,0.872823712569,0.608665124751,10222.470141,159.497382104,0.00853397255452,0.00726392251816,548,0.347028559895,0.593701029929,2.80719967625,0.929735023656,0.799076623307,5,0,"Stain4",NA,"OVCAR-8",5000,NA,"Plate6"
3,11,0,3,825.049640744,0.614299405192,185,146.154521382,0.87156324296,0.622207702501,10844.2086374,163.998687704,0.0128788694956,0.0162162162162,224,0.353747428279,0.590775238611,2.81123151745,0.930614427331,0.80984171509,5,0,"Stain4",NA,"OVCAR-8",5000,NA,"Plate6"
3,12,0,1,348.040740741,0.29361094177,98,146.174108929,0.865606897265,0.624557449472,10450.4201491,156.008913722,0.00863578663196,0.0102040816327,137,0.340700533431,0.583351240888,2.75932495309,0.924379390734,0.784513847768,5,0,"Stain4",NA,"OVCAR-8",5000,NA,"Plate6"
1,10,0,1,238.146097398,0.236020685805,238,191.233021957,0.699257869382,0.525871505966,3174.83945425,149.049703974,0.0022254412404,0.00420168067227,93,0.377068650365,0.605206878668,2.96902723476,0.933716750393,0.840816514736,5,0,"Stain4",NA,"CIOV6",10000,NA,"Plate7"
1,11,0,0,NA,NA,232,203.393826701,0.727606357763,0.556917093383,3478.74705033,148.497121186,0.00129287821011,0,107,0.376970153293,0.609589989088,2.99631385586,0.918754526995,0.834839149821,5,0,"Stain4",NA,"CIOV6",10000,NA,"Plate7"
1,12,0,1,401.855954238,0.350046873871,228,195.8707281,0.737036517518,0.550640345151,4458.92843672,152.19941565,0.00339088385525,0.00438596491228,129,0.387947566538,0.602725851132,2.96831825096,0.93803114878,0.854438637531,5,0,"Stain4",NA,"CIOV6",10000,NA,"Plate7"
2,10,0,16,274.713693512,0.227354923216,436,94.241080704,0.801686353423,0.604297569907,5732.49324649,166.603242718,0.020811872739,0.0366972477064,215,0.358335110362,0.622441253219,2.85155311978,0.932088261108,0.806431418081,5,0,"Stain4",NA,"COV413A",15000,NA,"Plate7"
2,11,0,16,259.158844534,0.230642444296,281,93.9403517996,0.841191535694,0.630562986987,7664.91920189,165.132669494,0.0288411901735,0.0569395017794,133,0.382938250788,0.629463831299,2.93792240011,0.932555176727,0.836146036458,5,0,"Stain4",NA,"COV413A",15000,NA,"Plate7"
2,12,0,20,258.391797372,0.209279155767,227,73.4281168725,0.81309852268,0.60888606424,10113.7918366,171.228452551,0.0382618078688,0.0881057268722,114,0.366827985505,0.620912923298,2.91240344654,0.93185754851,0.824069555157,5,0,"Stain4",NA,"COV413A",15000,NA,"Plate7"
3,10,0,1,379.5414089,0.445717237791,385,122.820819912,0.580723893901,0.463370948085,2496.18961117,151.266705755,0.0067021591793,0.0025974025974,86,0.390482925121,0.642069804157,2.99587858966,0.930402022015,0.84871525947,5,0,"Stain4",NA,"PEO16",15000,NA,"Plate7"
3,11,0,6,336.15124453,0.307588481481,253,121.825966107,0.630845128681,0.485909904308,3347.66787111,157.348011659,0.0155320874479,0.0237154150198,74,0.396633561827,0.624180376948,2.95442493619,0.944976690853,0.856229197578,5,0,"Stain4",NA,"PEO16",15000,NA,"Plate7"
3,12,0,12,445.301363065,0.399861145022,292,148.734556563,0.679065256114,0.534892091451,5222.75778525,168.09680131,0.0148487947851,0.041095890411,71,0.381953249738,0.617899722106,3.00604972553,0.93804520339,0.865672618591,5,0,"Stain4",NA,"PEO16",15000,NA,"Plate7"
4,10,0,34,384.936499713,0.311713061823,905,116.654231023,0.813003755607,0.655493964563,3352.73887619,169.279082499,0.0256305335519,0.0375690607735,281,0.364546939432,0.623945510178,2.92819628754,0.932542760467,0.826054290337,5,0,"Stain4",NA,"PEO4",20000,NA,"Plate7"
4,11,0,47,357.699802606,0.284759789841,937,110.449546996,0.839515924522,0.661196121181,5212.9444154,173.156725819,0.0337565125009,0.0501600853789,183,0.369541019052,0.630686077805,2.94380047299,0.936705437898,0.83152959723,5,0,"Stain4",NA,"PEO4",20000,NA,"Plate7"
4,12,0,38,352.155527463,0.245114920748,437,103.329686793,0.797358534122,0.62689156554,7629.81049185,185.644527999,0.0424838579848,0.0869565217391,271,0.372350370283,0.631239407925,2.89833090199,0.935031344645,0.825388473701,5,0,"Stain4",NA,"PEO4",20000,NA,"Plate7"
5,10,0,3,400.329817219,0.409898350602,311,129.129049775,0.907451222618,0.710343208995,7507.65677427,154.931101209,0.0125169522151,0.0096463022508,33,0.381166611124,0.665343820199,3.00296689311,0.922994755602,0.837904685024,5,0,"Stain4",NA,"PEO6",15000,NA,"Plate7"
5,11,0,2,243.552385231,0.252745935669,163,137.91322865,0.778623133853,0.61490099585,5067.07610159,151.857944756,0.0114508599975,0.0122699386503,33,0.39401048821,0.665624967729,2.93205214359,0.935788455232,0.837443430281,5,0,"Stain4",NA,"PEO6",15000,NA,"Plate7"
5,12,0,12,599.085433258,0.35007382473,171,118.750265097,0.808476422116,0.622696222432,8391.4086677,192.972715007,0.0314742931334,0.0701754385965,65,0.376382528998,0.622079505714,2.92350251032,0.937364840909,0.835418940909,5,0,"Stain4",NA,"PEO6",15000,NA,"Plate7"
1,10,0,20,311.487607267,0.224881295719,553,178.827041384,0.901161105681,0.667259959461,8376.51460347,161.276764583,0.023166896035,0.0361663652803,550,0.4239650846,0.664996455797,2.98862066429,0.949249454601,0.86529154889,5,0,"Stain4",NA,"OAW42 NL",3000,NA,"Plate8"
1,11,0,13,404.398360579,0.28308243573,426,198.472821272,0.879172595664,0.664031440192,8608.18087917,162.954975539,0.0198092133036,0.0305164319249,475,0.410832179989,0.666684570321,2.96950001447,0.945086622952,0.852943278534,5,0,"Stain4",NA,"OAW42 NL",3000,NA,"Plate8"
1,12,0,8,1451.50581574,0.525898359315,313,215.531421084,0.897633898251,0.667210385092,8568.64877179,187.315163486,0.0182241640673,0.0255591054313,359,0.431545150338,0.681091488635,3.00027007292,0.954309895107,0.87508064488,5,0,"Stain4",NA,"OAW42 NL",3000,NA,"Plate8"
